1     61.334 1.120
2     62.460 1.167
3     63.633 1.214
4     64.853 1.261
5     66.121 1.310
6     67.437 1.361
7     68.806 1.414
8     70.225 1.464
9     71.695 1.515
10    73.213 1.563
11    74.776 1.609
12    76.385 1.651
13    78.036 1.693
14    79.725 1.731
15    81.449 1.765
16    83.204 1.796
17    84.987 1.821
18    86.791 1.840
19    88.613 1.855
20    90.443 1.864
21    92.284 1.865
22    94.121 1.861
23    95.952 1.849
24    97.770 1.833
25    99.569 1.812
26   101.346 1.787
27   103.095 1.757
28   104.815 1.729
29   106.505 1.699
30   108.164 1.671
31   109.796 1.646
32   111.406 1.623
33   112.983 1.628
34   114.566 1.657
35   116.142 1.680
36   117.722 1.693
37   119.312 1.700
38   120.914 1.711
39   122.547 1.683
40   124.143 1.655
41   125.764 1.669
42   127.393 1.686
43   129.029 1.702
44   130.670 1.719
45   132.318 1.735
46   133.971 1.751
47   135.632 1.767
48   137.297 1.783
49   138.992 1.755
50   140.649 1.727
51   142.335 1.744
52   144.027 1.759
53   145.725 1.776
54   147.430 1.791
55   149.142 1.807
56   150.860 1.823
57   152.603 1.804
58   154.316 1.781
59   156.055 1.797
60   157.799 1.813
61   159.551 1.829
62   161.308 1.845
63   163.074 1.862
64   164.845 1.879
65   166.624 1.895
66   168.408 1.911
67   170.200 1.927
68   172.021 1.898
69   173.803 1.868
70   175.614 1.884
71   177.433 1.900
72   179.257 1.916
73   181.089 1.932
74   182.927 1.949
75   184.773 1.965
76   186.624 1.982
77   188.502 1.959
78   190.347 1.935
79   192.218 1.951
80   194.097 1.967
81   195.981 1.985
82   197.872 1.999
83   199.770 2.016
84   201.675 2.033
85   203.586 2.051
86   205.524 2.025
87   207.426 1.999
88   209.357 2.015
89   211.294 2.032
90   213.237 2.048
91   215.186 2.064
92   217.143 2.080
93   219.105 2.097
94   221.073 2.114
95   223.068 2.093
96   225.029 2.071
97   227.017 2.088
98   229.010 2.104
99   231.010 2.120
100  233.017 2.136
101  235.029 2.154
102  237.047 2.169
103  239.072 2.186
104  241.125 2.157
105  243.139 2.126
106  245.181 2.144
107  247.229 2.160
108  249.284 2.175
109  251.344 2.192
110  253.411 2.209
111  255.483 2.225
112  257.560 2.241
113  259.645 2.258
114  261.755 2.232
115  263.829 2.207
116  265.930 2.223
117  268.036 2.240
118  270.149 2.256
119  272.266 2.273
120  274.390 2.290
121  276.519 2.306
122  278.653 2.322
123  280.792 2.339
124  282.963 2.304
125  285.088 2.269
126  287.244 2.285
127  289.405 2.301
128  291.571 2.318
129  293.743 2.334
130  295.919 2.351
131  298.101 2.367
132  300.288 2.383
133  302.481 2.399
134  304.704 2.362
135  306.879 2.324
136  309.086 2.340
137  311.298 2.357
138  313.515 2.372
139  315.736 2.390
140  317.962 2.405
141  320.193 2.421
142  322.430 2.438
143  324.669 2.454
144  326.914 2.471
145  329.192 2.430
146  331.418 2.389
147  333.677 2.406
148  335.940 2.421
149  338.208 2.438
150  340.479 2.452
151  342.756 2.469
152  345.036 2.485
153  347.321 2.501
154  349.609 2.518
155  351.902 2.533
156  354.229 2.491
157  356.501 2.446
158  358.806 2.463
159  361.115 2.477
160  363.428 2.494
161  365.746 2.509
162  368.066 2.525
163  370.391 2.541
164  372.719 2.556
165  375.051 2.572
166  377.388 2.588
167  379.758 2.543
168  382.070 2.495
169  384.417 2.510
170  386.767 2.527
171  389.121 2.542
172  391.478 2.557
173  393.838 2.573
174  396.202 2.587
175  398.569 2.604
176  400.940 2.619
177  403.313 2.635
178  405.717 2.595
179  408.070 2.554
180  410.452 2.570
181  412.838 2.585
182  415.227 2.600
183  417.619 2.615
184  420.014 2.630
185  422.411 2.646
186  424.811 2.661
187  427.215 2.676
188  429.621 2.692
189  432.063 2.639
190  434.440 2.586
191  436.854 2.601
192  439.270 2.617
